Strain,DPI,DENV status,Name,Target/Ref
WT+D5,5,Pos,"WT,D5,CC,+,1",4.13E-02
WT+D5,5,Pos,"WT,D5,CC,+,4",8.19E-03
WT+D5,5,Pos,"WT,D5,CC,+,5",1.57E-02
WT+D5,5,Pos,"WT,D5,CC,+,6",5.52E-03
WT-D5,5,Neg,"WT,D5,CC,-,1",2.91E-02
WT-D5,5,Neg,"WT,D5,CC,-,2",2.44E-02
WT-D5,5,Neg,"WT,D5,CC,-,3",1.28E-02
WT-D5,5,Neg,"WT,D5,CC,-,4",1.86E-02
WT-D5,5,Neg,"WT,D5,CC,-,5",0.2395
WT-D5,5,Neg,"WT,D5,CC,-,6",5.56E-02
wMel+D5,5,Pos,"wMel,D5,CC+,2",1.08E-02
wMel+D5,5,Pos,"wMel,D5,CC+,4",1.97E-02
wMel+D5,5,Pos,"wMel,D5,CC+,6",6.08E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,2",8.96E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,3",4.62E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,4",2.25E-04
wMel-D5,5,Neg,"wMel,D5,CC,-,5",9.03E-03
WT+D10,10,Pos,"WT,D10,CC,+,4",1.15E-02
WT+D10,10,Pos,"WT,D10,CC,+,5",1.17E-02
WT-D10,10,Neg,"WT,D10,CC,-,1",9.00E-03
WT-D10,10,Neg,"WT,D10,CC,-,2",3.61E-02
WT-D10,10,Neg,"WT,D10,CC,-,3",1.48E-02
WT-D10,10,Neg,"WT,D10,CC,-,4",6.40E-03
WT-D10,10,Neg,"WT,D10,CC,-,5",7.84E-03
WT-D10,10,Neg,"WT,D10,CC,-,6",4.24E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,1",5.90E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,2",1.27E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,3",9.68E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,4",4.19E-03
wMel+D10,10,Pos,"wMel,D10,CC,+,5",0.1036
wMel+D10,10,Pos,"wMel,D10,CC,+,6",5.17E-03
wMel-D10,10,Neg,"wMel,D10,CC,-,1",7.20E-04
wMel-D10,10,Neg,"wMel,D10,CC,-,2",3.79E-02
wMel-D10,10,Neg,"wMel,D10,CC,-,3",1.18E-03
wMel-D10,10,Neg,"wMel,D10,CC,-,4",0.1689
wMel-D10,10,Neg,"wMel,D10,CC,-,5",3.93E-02
wMel-D10,10,Neg,"wMel,D10,CC,-,6",5.40E-02
