Strain,DPI,DENV status,Name,Target/Ref
WT-D5,5,Neg,"WT,D5,CC,-,5",8.16E-03
wMel+D5,5,Pos,"wMel,D5,CC+,1",1.15E-02
wMel+D5,5,Pos,"wMel,D5,CC+,5",1.64E-02
wMel+D5,5,Pos,"wMel,D5,CC+,6",2.82E-02
wMel-D5,5,Neg,"wMel,D5,CC,-,1",5.43E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,2",1.89E-02
wMel-D5,5,Neg,"wMel,D5,CC,-,3",7.58E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,4",2.40E-02
wMel-D5,5,Neg,"wMel,D5,CC,-,5",1.81E-02
wMel-D5,5,Neg,"wMel,D5,CC,-,6",9.40E-03
WT-D10,10,Neg,"WT,D10,CC,-,2",5.37E-03
WT-D10,10,Neg,"WT,D10,CC,-,3",4.34E-03
WT-D10,10,Neg,"WT,D10,CC,-,4",4.87E-03
WT-D10,10,Neg,"WT,D10,CC,-,5",3.19E-03
WT-D10,10,Neg,"WT,D10,CC,-,6",1.44E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,1",1.39E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,3",3.75E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,4",7.37E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,5",1.83E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,6",2.65E-02
wMel-D10,10,Neg,"wMel,D10,CC,-,1",6.67E-03
wMel-D10,10,Neg,"wMel,D10,CC,-,2",7.12E-03
wMel-D10,10,Neg,"wMel,D10,CC,-,3",1.55E-02
wMel-D10,10,Neg,"wMel,D10,CC,-,4",2.94E-02
wMel-D10,10,Neg,"wMel,D10,CC,-,5",5.58E-03
